,MATCHUP,PTS,FG%,3P%,FT%,OREB,DREB,AST,STL,BLK,TOV,PF
1020,MIL @ PHI,20.0,8.200000000000003,26.700000000000003,6.300000000000011,9.0,10.0,4.0,-9.0,1.0,6.0,-1.0
1021,PHI vs. MIL,-20.0,-8.200000000000003,-26.700000000000003,-6.300000000000011,-9.0,-10.0,-4.0,9.0,-1.0,-6.0,1.0
1022,DAL @ NYK,2.0,-4.899999999999999,-0.6999999999999957,-6.200000000000003,0.0,-7.0,4.0,2.0,0.0,-9.0,-5.0
1023,NYK vs. DAL,-2.0,4.899999999999999,0.6999999999999957,6.200000000000003,0.0,7.0,-4.0,-2.0,0.0,9.0,5.0
1024,GSW @ DET,8.0,5.899999999999999,11.099999999999998,1.5,-5.0,4.0,1.0,-4.0,1.0,5.0,-4.0
1025,DET vs. GSW,-8.0,-5.899999999999999,-11.099999999999998,-1.5,5.0,-4.0,-1.0,4.0,-1.0,-5.0,4.0
1026,BOS @ UTA,-12.0,-11.0,-8.599999999999998,19.0,2.0,-9.0,-9.0,-2.0,-6.0,2.0,-3.0
1027,UTA vs. BOS,12.0,11.0,8.599999999999998,-19.0,-2.0,9.0,9.0,2.0,6.0,-2.0,3.0
1028,LAC @ NOP,13.0,9.299999999999997,18.200000000000003,-2.1000000000000085,-10.0,0.0,10.0,2.0,-2.0,0.0,5.0
1029,NOP vs. LAC,-13.0,-9.299999999999997,-18.200000000000003,2.1000000000000085,10.0,0.0,-10.0,-2.0,2.0,0.0,-5.0
1030,ORL @ TOR,-15.0,-10.899999999999999,-17.199999999999996,-1.2999999999999972,0.0,-18.0,-3.0,10.0,-2.0,-14.0,3.0
1031,TOR vs. ORL,15.0,10.899999999999999,17.199999999999996,1.2999999999999972,0.0,18.0,3.0,-10.0,2.0,14.0,-3.0
1032,MIN @ POR,-11.0,-8.800000000000004,-14.299999999999997,-23.799999999999997,9.0,-7.0,-1.0,1.0,-5.0,2.0,-2.0
1033,POR vs. MIN,11.0,8.800000000000004,14.299999999999997,23.799999999999997,-9.0,7.0,1.0,-1.0,5.0,-2.0,2.0
1034,SAC @ DEN,14.0,9.899999999999999,-8.399999999999999,16.599999999999994,0.0,5.0,-5.0,1.0,3.0,2.0,-7.0
1035,DEN vs. SAC,-14.0,-9.899999999999999,8.399999999999999,-16.599999999999994,0.0,-5.0,5.0,-1.0,-3.0,-2.0,7.0
1036,WAS @ CLE,13.0,4.200000000000003,28.9,-20.799999999999997,2.0,-5.0,11.0,5.0,1.0,-7.0,7.0
1037,CLE vs. WAS,-13.0,-4.200000000000003,-28.9,20.799999999999997,-2.0,5.0,-11.0,-5.0,-1.0,7.0,-7.0
1038,CHI @ MIA,-14.0,-6.200000000000003,-10.5,16.799999999999997,0.0,10.0,-4.0,-6.0,-3.0,5.0,-4.0
1039,MIA vs. CHI,14.0,6.200000000000003,10.5,-16.799999999999997,0.0,-10.0,4.0,6.0,3.0,-5.0,4.0
1040,BKN @ LAL,6.0,-3.8999999999999986,6.799999999999997,9.599999999999994,2.0,2.0,11.0,2.0,-3.0,1.0,-4.0
